#q 	 Iexp 	 Ifit_avg 	 Residuals_avg 	 Ifit_weightedavg 	 Residuals_weightedavg 
8.846100e-02 	5.751000e-05 	4.767918e-05 	5.037912e+00 	5.280751e-05 	2.409843e+00 
8.876000e-02 	5.624000e-05 	4.729378e-05 	4.681907e+00 	5.235848e-05 	2.031349e+00 
8.906000e-02 	5.643000e-05 	4.691382e-05 	5.014654e+00 	5.191496e-05 	2.379252e+00 
8.936000e-02 	5.412000e-05 	4.653927e-05 	3.864924e+00 	5.147679e-05 	1.347600e+00 
8.966000e-02 	5.638000e-05 	4.617011e-05 	5.243686e+00 	5.104414e-05 	2.740440e+00 
8.996000e-02 	5.470000e-05 	4.580619e-05 	4.875210e+00 	5.061667e-05 	2.238309e+00 
9.025900e-02 	5.201000e-05 	4.544741e-05 	3.565454e+00 	5.019444e-05 	9.863910e-01 
9.055900e-02 	5.130000e-05 	4.509381e-05 	3.431865e+00 	4.977747e-05 	8.419213e-01 
9.085900e-02 	5.198000e-05 	4.474525e-05 	3.772822e+00 	4.936559e-05 	1.363379e+00 
9.115900e-02 	5.157000e-05 	4.440158e-05 	3.781423e+00 	4.895869e-05 	1.377497e+00 
9.145900e-02 	4.967000e-05 	4.406292e-05 	2.916804e+00 	4.855678e-05 	5.790954e-01 
9.175900e-02 	4.957000e-05 	4.372904e-05 	3.175867e+00 	4.815984e-05 	7.667367e-01 
9.205800e-02 	5.234000e-05 	4.339991e-05 	4.757596e+00 	4.776772e-05 	2.433202e+00 
9.235800e-02 	5.044000e-05 	4.307552e-05 	3.809255e+00 	4.738049e-05 	1.582526e+00 
9.265800e-02 	4.646000e-05 	4.275574e-05 	1.974151e+00 	4.699788e-05 	-2.866603e-01 
9.295800e-02 	4.688000e-05 	4.244054e-05 	2.499759e+00 	4.662008e-05 	1.463573e-01 
9.325800e-02 	5.158000e-05 	4.212983e-05 	4.875410e+00 	4.624684e-05 	2.751414e+00 
9.355700e-02 	4.713000e-05 	4.182350e-05 	3.007769e+00 	4.587808e-05 	7.096000e-01 
9.385700e-02 	4.613000e-05 	4.152153e-05 	2.433108e+00 	4.551386e-05 	3.252981e-01 
9.415700e-02 	4.694000e-05 	4.122386e-05 	3.095994e+00 	4.515414e-05 	9.672644e-01 
9.445700e-02 	4.638000e-05 	4.093035e-05 	2.760584e+00 	4.479868e-05 	8.010378e-01 
9.475700e-02 	4.679000e-05 	4.064102e-05 	3.386458e+00 	4.444760e-05 	1.290040e+00 
9.505600e-02 	4.645000e-05 	4.035578e-05 	3.147736e+00 	4.410074e-05 	1.213421e+00 
9.535600e-02 	4.575000e-05 	4.007447e-05 	3.133415e+00 	4.375803e-05 	1.099753e+00 
9.565600e-02 	4.734000e-05 	3.979714e-05 	4.083197e+00 	4.341951e-05 	2.122290e+00 
9.595600e-02 	4.486000e-05 	3.952366e-05 	2.784340e+00 	4.308501e-05 	9.261333e-01 
9.625600e-02 	4.336000e-05 	3.925403e-05 	2.288628e+00 	4.275450e-05 	3.375011e-01 
9.655600e-02 	4.516000e-05 	3.898805e-05 	3.437907e+00 	4.242797e-05 	1.521801e+00 
9.685500e-02 	4.810000e-05 	3.872574e-05 	5.176497e+00 	4.210528e-05 	3.310307e+00 
9.715500e-02 	4.120000e-05 	3.846706e-05 	1.464546e+00 	4.178647e-05 	-3.142815e-01 
9.745500e-02 	4.673000e-05 	3.821189e-05 	4.609765e+00 	4.147138e-05 	2.845821e+00 
9.775500e-02 	4.084000e-05 	3.796025e-05 	1.638923e+00 	4.116004e-05 	-1.821416e-01 
9.805500e-02 	4.387000e-05 	3.771210e-05 	3.390953e+00 	4.085248e-05 	1.661648e+00 
9.835400e-02 	4.431000e-05 	3.746731e-05 	3.752670e+00 	4.054852e-05 	2.062870e+00 
9.865400e-02 	4.510000e-05 	3.722598e-05 	4.548760e+00 	4.024835e-05 	2.802759e+00 
9.895400e-02 	4.175000e-05 	3.698791e-05 	2.604955e+00 	3.995166e-05 	9.837282e-01 
9.925400e-02 	4.261000e-05 	3.675314e-05 	3.183613e+00 	3.965855e-05 	1.604321e+00 
